CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
035068,PUEBLO SPRINGS REHABILITATION CENTER,5545 EAST LEE STREET,TUCSON,AZ,85712,"5545 EAST LEE STREET,TUCSON,AZ,85712",2026-04-01,"pueblosprings@ensignservices.net,contact-pueblosprings@ensignservices.net"
035071,MISSION PALMS POST ACUTE,6461 EAST BAYWOOD AVENUE,MESA,AZ,85206,"6461 EAST BAYWOOD AVENUE,MESA,AZ,85206",2026-04-01,"admin@azhca.org,contact-missionpalms@ensignservices.net"
035074,FRIENDSHIP VILLAGE OF TEMPE,2525 EAST SOUTHERN AVENUE,TEMPE,AZ,85282,"2525 EAST SOUTHERN AVENUE,TEMPE,AZ,85282",2026-04-01,admin@azhca.org
035083,HERITAGE COURT POST ACUTE OF SCOTTSDALE,3339 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251,"3339 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251",2026-04-01,contact-heritagecourt@ensignservices.net
035084,PLAZA HEALTHCARE,1475 NORTH GRANITE REEF ROAD,SCOTTSDALE,AZ,85257,"1475 NORTH GRANITE REEF ROAD,SCOTTSDALE,AZ,85257",2026-04-01,admissions@plazahealthcare.com
035085,HAVEN OF SAGUARO VALLEY,6651 EAST CARONDELET DRIVE,TUCSON,AZ,85710,"6651 EAST CARONDELET DRIVE,TUCSON,AZ,85710",2026-04-01,saguaro@havenhealthaz.com
035088,CAMELBACK POST ACUTE CARE AND REHABILITATION,4635 NORTH 14TH STREET,PHOENIX,AZ,85014,"4635 NORTH 14TH STREET,PHOENIX,AZ,85014",2026-04-01,contact-camelback@ensignservices.net
035091,HAVEN OF FLAGSTAFF,800 WEST UNIVERSITY AVENUE,FLAGSTAFF,AZ,86001,"800 WEST UNIVERSITY AVENUE,FLAGSTAFF,AZ,86001",2026-04-01,info@altcs.org
035094,HAVEN OF SEDONA,505 JACKS CANYON ROAD,SEDONA,AZ,86351,"505 JACKS CANYON ROAD,SEDONA,AZ,86351",2026-04-01,info@altcs.org
035095,Desert Cove Nursing Center,1750 WEST FRYE ROAD,CHANDLER,AZ,85224,"1750 WEST FRYE ROAD,CHANDLER,AZ,85224",2026-04-01,info@altcs.org
035100,Havasu Nursing Center,3576 KEARSAGE DRIVE,LAKE HAVASU CITY,AZ,86406,"3576 KEARSAGE DRIVE,LAKE HAVASU CITY,AZ,86406",2026-04-01,adm@havasunursingcenter.com
035101,CHANDLER POST ACUTE AND REHABILITATION,2121 WEST ELGIN STREET,CHANDLER,AZ,85224,"2121 WEST ELGIN STREET,CHANDLER,AZ,85224",2026-04-01,contact-chandler@ensignservices.net
035103,CITADEL POST ACUTE,5121 EAST BROADWAY ROAD,MESA,AZ,85206,"5121 EAST BROADWAY ROAD,MESA,AZ,85206",2026-04-01,contact-citadel@ensignservices.net
035105,SHEA POST ACUTE REHABILITATION CENTER,11150 NORTH 92ND STREET,SCOTTSDALE,AZ,85260,"11150 NORTH 92ND STREET,SCOTTSDALE,AZ,85260",2026-04-01,-sheaparc@ensignservices.net
035106,TEMPE POST ACUTE,6100 SOUTH RURAL ROAD,TEMPE,AZ,85283,"6100 SOUTH RURAL ROAD,TEMPE,AZ,85283",2026-04-01,"contact-tempepostacute@ensignservices.net,tempepostacute@ensignservices.net"
035107,HAVEN OF PHOENIX,4202 NORTH 20TH AVENUE,PHOENIX,AZ,85015,"4202 NORTH 20TH AVENUE,PHOENIX,AZ,85015",2026-04-01,"paquettec1@mercycareaz.org,info@nursingabuseinjurylaw.com"
035110,Sun West Choice Healthcare & Rehab,14002 WEST MEEKER BLVD,SUN CITY WEST,AZ,85375,"14002 WEST MEEKER BLVD,SUN CITY WEST,AZ,85375",2026-04-01,"-sunwestchoice@ensignservices.net,contact-sunwestchoice@ensignservices.net"
035120,MI CASA NURSING CENTER,330 SOUTH PINNULE CIRCLE,MESA,AZ,85206,"330 SOUTH PINNULE CIRCLE,MESA,AZ,85206",2026-04-01,info@altcs.org
035130,ARCHSTONE CARE CENTER,1980 WEST PECOS ROAD,CHANDLER,AZ,85224,"1980 WEST PECOS ROAD,CHANDLER,AZ,85224",2026-04-01,"mlucero@archstonecare.com,info@altcs.org"
035131,Granite Creek Health & Rehabilitation Center,1045 SCOTT DRIVE,PRESCOTT,AZ,86301,"1045 SCOTT DRIVE,PRESCOTT,AZ,86301",2026-04-01,contact-granitecreek@ensigngroup.net
035132,CORONADO HEALTHCARE CENTER,11411 NORTH 19TH AVE,PHOENIX,AZ,85029,"11411 NORTH 19TH AVE,PHOENIX,AZ,85029",2026-04-01,"contact-coronado@ensignservices.net,info@altcs.org"
035133,Life Care Center Of Yuma,2450 SOUTH 19TH AVENUE,YUMA,AZ,85364,"2450 SOUTH 19TH AVENUE,YUMA,AZ,85364",2026-04-01,admin@azhca.org
035135,Montecito Post Acute Care and Rehabilitation,51 SOUTH 48TH STREET,MESA,AZ,85206,"51 SOUTH 48TH STREET,MESA,AZ,85206",2026-04-01,contact-montecito@ensignservices.net
035140,LIFE CARE CENTER OF TUCSON,6211 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,"6211 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741",2026-04-01,admin@azhca.org
035151,SABINO CANYON REHABILITATION & CARE CENTER,5830 EAST PIMA STREET,TUCSON,AZ,85712,"5830 EAST PIMA STREET,TUCSON,AZ,85712",2026-04-01,contact-sabinocanyon@ensignservices.net
035171,ALTA MESA HEALTH AND REHABILITATION,5848 EAST UNIVERSITY DRIVE,MESA,AZ,85205,"5848 EAST UNIVERSITY DRIVE,MESA,AZ,85205",2026-04-01,"-altamesa@ensignservices.net,contact-altamesa@ensignservices.net"
035172,HAVEN OF SAFFORD,1933 PEPPERTREE DRIVE,SAFFORD,AZ,85546,"1933 PEPPERTREE DRIVE,SAFFORD,AZ,85546",2026-04-01,info@altcs.org
035176,BEATITUDES CAMPUS,1712 WEST GLENDALE AVENUE,PHOENIX,AZ,85021,"1712 WEST GLENDALE AVENUE,PHOENIX,AZ,85021",2026-04-01,"bwood@beatitudescampus.org,campusinfo@beatitudescampus.org,info@altcs.org"
035180,HAVEN OF DOUGLAS,1400 NORTH SAN ANTONIO AVENUE,DOUGLAS,AZ,85607,"1400 NORTH SAN ANTONIO AVENUE,DOUGLAS,AZ,85607",2026-04-01,info@altcs.org
035190,CATALINA POST ACUTE AND REHABILITATION,2611 NORTH WARREN AVENUE,TUCSON,AZ,85719,"2611 NORTH WARREN AVENUE,TUCSON,AZ,85719",2026-04-01,"contact-catalina@ensignservices.net,ebramschreiber@ensignservices.net"
035193,Citrus Heights Respiratory and Rehabilitation,3130 EAST BROADWAY ROAD,MESA,AZ,85204,"3130 EAST BROADWAY ROAD,MESA,AZ,85204",2026-04-01,"admin@azhca.org,contact-citrusheights@ensignservices.net"
035196,SANDRIDGE POST ACUTE,255 WEST BROWN ROAD,MESA,AZ,85201,"255 WEST BROWN ROAD,MESA,AZ,85201",2026-04-01,vanessa.medellin@sandridgepa.com
035197,HAVEN OF YUMA,2470 SOUTH ARIZONA AVENUE,YUMA,AZ,85364,"2470 SOUTH ARIZONA AVENUE,YUMA,AZ,85364",2026-04-01,info@altcs.org
035205,SUNCREST HEALTHCARE CENTER,2211 EAST SOUTHERN AVENUE,PHOENIX,AZ,85040,"2211 EAST SOUTHERN AVENUE,PHOENIX,AZ,85040",2026-04-01,consumerfeedback@aplaceformom.com
035214,QUIBURI MISSION NURSING & REHABILITATION,850 SOUTH HIGHWAY 80,BENSON,AZ,85602,"850 SOUTH HIGHWAY 80,BENSON,AZ,85602",2026-04-01,admin@azhca.org
035225,Sun City Post Acute,9940 WEST UNION HILLS DRIVE,SUN CITY,AZ,85373,"9940 WEST UNION HILLS DRIVE,SUN CITY,AZ,85373",2026-04-01,phpprcontactus@providence.org
035232,MOUNTAIN VIEW CARE CENTER,1313 WEST MAGEE ROAD,TUCSON,AZ,85704,"1313 WEST MAGEE ROAD,TUCSON,AZ,85704",2026-04-01,contact-mountainviewcare@ensignservices.net
035240,HAVEN OF LAKE HAVASU,2781 OSBORNE DRIVE,LAKE HAVASU CITY,AZ,86406,"2781 OSBORNE DRIVE,LAKE HAVASU CITY,AZ,86406",2026-04-01,info@altcs.org
035241,South Mountain Post Acute,8008 S. JESSE OWENS PARKWAY,PHOENIX,AZ,85042,"8008 S. JESSE OWENS PARKWAY,PHOENIX,AZ,85042",2026-04-01,"-southmountain@ensignservices.net,contact-southmountain@ensignservices.net"
035250,Immanuel Campus Of Care,11301 NORTH 99TH AVENUE,PEORIA,AZ,85345,"11301 NORTH 99TH AVENUE,PEORIA,AZ,85345",2026-04-01,"info@altcs.org,iccinfo@immanuelcares.com,admissions@immanuelcares.comsee,dsalgado@immanuelcares.comsee"
035251,RIVER PARK POST ACUTE,2555 NORTH PRICE ROAD,CHANDLER,AZ,85224,"2555 NORTH PRICE ROAD,CHANDLER,AZ,85224",2026-04-01,contact-riverpark@ensignservices.net
035260,Fountain Hills Post Acute,16300 EAST KEITH MCMAHAN DRIVE,FOUNTAIN HILLS,AZ,85268,"16300 EAST KEITH MCMAHAN DRIVE,FOUNTAIN HILLS,AZ,85268",2026-04-01,contact-fountainhills@ensignservices.net
035262,THE LINGENFELTER CENTER,1099 SUNRISE AVENUE,KINGMAN,AZ,86401,"1099 SUNRISE AVENUE,KINGMAN,AZ,86401",2026-04-01,info@altcs.org
035277,HAVEN OF LAKESIDE,3401 NORTH LOCKWOOD DRIVE,LAKESIDE,AZ,85929,"3401 NORTH LOCKWOOD DRIVE,LAKESIDE,AZ,85929",2026-04-01,info@altcs.org
035285,WELLSPRINGS OF GILBERT,3319 SOUTH MERCY ROAD,GILBERT,AZ,85297,"3319 SOUTH MERCY ROAD,GILBERT,AZ,85297",2026-04-01,contact-wellsprings@ensignservices.net
035296,ASPIRE TRANSITIONAL CARE,1521 NORTH PINE CLIFF DRIVE,FLAGSTAFF,AZ,86001,"1521 NORTH PINE CLIFF DRIVE,FLAGSTAFF,AZ,86001",2026-04-01,"admin@azhca.org,info@aspiretransitionalcare.com"
035302,Diamondback Healthcare Center,3000 N 91ST AVENUE,PHOENIX,AZ,85037,"3000 N 91ST AVENUE,PHOENIX,AZ,85037",2026-04-01,rbailey@diamondbackhealth.com
045125,BUTTERFIELD TRAIL VILLAGE,1923 EAST JOYCE BLVD,FAYETTEVILLE,AR,72703,"1923 EAST JOYCE BLVD,FAYETTEVILLE,AR,72703",2026-04-01,marketing@btvillage.org
045134,THE SPRINGS JONESBORO,1705 LATOURETTE DRIVE,JONESBORO,AR,72404,"1705 LATOURETTE DRIVE,JONESBORO,AR,72404",2026-04-01,meg@soignenashville.com
045148,CAVE CITY NURSING HOME INC,442 TAYLOR CIRCLE,CAVE CITY,AR,72521,"442 TAYLOR CIRCLE,CAVE CITY,AR,72521",2026-04-01,"meg@soignenashville.com,first.last@cavecitynursinghome.org,flast@cavecitynursinghome.org"
045151,THE GREEN HOUSE COTTAGES OF WALNUT RIDGE,1500 WEST MAIN STREET,WALNUT RIDGE,AR,72476,"1500 WEST MAIN STREET,WALNUT RIDGE,AR,72476",2026-04-01,walnutridgeinfo@southernadmin.com
045153,THE SPRINGS OF FAIRFIELD BAY,265 DAVE CREEK PARKWAY,FAIRFIELD BAY,AR,72088,"265 DAVE CREEK PARKWAY,FAIRFIELD BAY,AR,72088",2026-04-01,alirvadmin@soar.com
045155,ASH FLAT HEALTHCARE AND REHABILITATION CENTER,66 OZBIRN LANE,ASH FLAT,AR,72513,"66 OZBIRN LANE,ASH FLAT,AR,72513",2026-04-01,meg@soignenashville.com
045158,THE SPRINGS OF GREERS FERRY,1040 WEDDING FORD ROAD,HEBER SPRINGS,AR,72543,"1040 WEDDING FORD ROAD,HEBER SPRINGS,AR,72543",2026-04-01,profiles@birdeye.com
045166,"CRESTPARK WYNNE, LLC",400 ARKANSAS STREET,WYNNE,AR,72396,"400 ARKANSAS STREET,WYNNE,AR,72396",2026-04-01,meg@soignenashville.com
045180,THE SPRINGS OF MINE CREEK,1407 NORTH MAIN STREET,NASHVILLE,AR,71852,"1407 NORTH MAIN STREET,NASHVILLE,AR,71852",2026-04-01,"meg@soignenashville.com,info@guidingpatients.com"
